dataset,language,sent_id,dependency_distance
human,en,en-human-0000015,2
human,en,en-human-0000015,1
human,en,en-human-0000015,1
human,en,en-human-0000015,3
human,en,en-human-0000015,2
human,en,en-human-0000015,1
human,en,en-human-0000015,4
human,en,en-human-0000015,6
human,en,en-human-0000015,1
human,en,en-human-0000016,1
human,en,en-human-0000016,1
human,en,en-human-0000016,1
human,en,en-human-0000016,3
human,en,en-human-0000016,13
human,en,en-human-0000016,1
human,en,en-human-0000016,11
human,en,en-human-0000016,3
human,en,en-human-0000016,2
human,en,en-human-0000016,1
human,en,en-human-0000016,4
human,en,en-human-0000016,3
human,en,en-human-0000016,2
human,en,en-human-0000016,1
human,en,en-human-0000016,8
human,en,en-human-0000016,2
human,en,en-human-0000016,1
human,en,en-human-0000016,17
human,en,en-human-0000016,1
human,en,en-human-0000016,4
human,en,en-human-0000016,1
human,en,en-human-0000016,2
human,en,en-human-0000016,1
human,en,en-human-0000016,6
human,en,en-human-0000016,2
human,en,en-human-0000016,1
human,en,en-human-0000016,3
human,en,en-human-0000016,2
human,en,en-human-0000016,1
human,en,en-human-0000016,3
human,en,en-human-0000016,2
human,en,en-human-0000016,1
human,en,en-human-0000016,3
human,en,en-human-0000017,3
human,en,en-human-0000017,2
human,en,en-human-0000017,1
human,en,en-human-0000017,2
human,en,en-human-0000017,1
human,en,en-human-0000017,3
human,en,en-human-0000017,1
human,en,en-human-0000017,3
human,en,en-human-0000017,1
human,en,en-human-0000017,2
human,en,en-human-0000017,1
human,en,en-human-0000017,2
human,en,en-human-0000017,1
human,en,en-human-0000017,4
human,en,en-human-0000017,4
human,en,en-human-0000017,3
human,en,en-human-0000017,1
human,en,en-human-0000017,9
human,en,en-human-0000017,2
human,en,en-human-0000017,3
human,en,en-human-0000017,3
human,en,en-human-0000017,2
human,en,en-human-0000017,1
human,en,en-human-0000017,4
human,en,en-human-0000017,1
human,en,en-human-0000018,6
human,en,en-human-0000018,4
human,en,en-human-0000018,3
human,en,en-human-0000018,2
human,en,en-human-0000018,1
human,en,en-human-0000018,4
human,en,en-human-0000018,1
human,en,en-human-0000018,2
human,en,en-human-0000018,1
human,en,en-human-0000018,5
human,en,en-human-0000018,1
human,en,en-human-0000018,6
human,en,en-human-0000018,1
human,en,en-human-0000018,4
human,en,en-human-0000018,3
human,en,en-human-0000018,2
human,en,en-human-0000018,1
human,en,en-human-0000018,14
human,en,en-human-0000018,4
human,en,en-human-0000018,1
human,en,en-human-0000018,2
human,en,en-human-0000018,1
human,en,en-human-0000018,5
human,en,en-human-0000019,1
human,en,en-human-0000019,2
human,en,en-human-0000019,1
human,en,en-human-0000019,3
human,en,en-human-0000019,1
human,en,en-human-0000019,6
human,en,en-human-0000019,18
human,en,en-human-0000019,2
human,en,en-human-0000019,1
human,en,en-human-0000019,15
human,en,en-human-0000019,1
human,en,en-human-0000019,2
human,en,en-human-0000019,2
human,en,en-human-0000019,1
human,en,en-human-0000019,1
human,en,en-human-0000019,4
human,en,en-human-0000019,3
human,en,en-human-0000019,2
human,en,en-human-0000019,1
human,en,en-human-0000019,5
human,en,en-human-0000019,1
human,en,en-human-0000019,26
human,en,en-human-0000019,1
human,en,en-human-0000019,2
human,en,en-human-0000019,2
human,en,en-human-0000019,1
human,en,en-human-0000019,7
human,en,en-human-0000019,6
human,en,en-human-0000019,5
human,en,en-human-0000019,3
human,en,en-human-0000019,2
human,en,en-human-0000019,1
human,en,en-human-0000019,10
human,en,en-human-0000020,7
human,en,en-human-0000020,6
human,en,en-human-0000020,5
human,en,en-human-0000020,1
human,en,en-human-0000020,1
human,en,en-human-0000020,2
human,en,en-human-0000020,1
human,en,en-human-0000020,3
human,en,en-human-0000020,2
human,en,en-human-0000020,1
human,en,en-human-0000020,6
human,en,en-human-0000020,4
human,en,en-human-0000020,1
human,en,en-human-0000020,2
human,en,en-human-0000020,1
human,en,en-human-0000020,10
human,en,en-human-0000020,3
human,en,en-human-0000020,2
human,en,en-human-0000020,4
human,en,en-human-0000020,30
human,en,en-human-0000020,1
human,en,en-human-0000020,6
human,en,en-human-0000020,1
human,en,en-human-0000020,2
human,en,en-human-0000020,2
human,en,en-human-0000020,1
human,en,en-human-0000020,22
human,en,en-human-0000020,1
human,en,en-human-0000020,3
human,en,en-human-0000020,1
human,en,en-human-0000020,1
human,en,en-human-0000020,3
human,en,en-human-0000020,1
human,en,en-human-0000020,2
human,en,en-human-0000020,1
human,en,en-human-0000020,4
human,en,en-human-0000020,1
human,en,en-human-0000020,2
human,en,en-human-0000020,2
human,en,en-human-0000020,1
human,en,en-human-0000020,5
human,en,en-human-0000020,5
human,en,en-human-0000020,4
human,en,en-human-0000020,3
human,en,en-human-0000020,1
human,en,en-human-0000020,32
human,en,en-human-0000021,2
human,en,en-human-0000021,1
human,en,en-human-0000021,3
human,en,en-human-0000021,1
human,en,en-human-0000021,6
human,en,en-human-0000021,1
human,en,en-human-0000021,2
human,en,en-human-0000021,4
human,en,en-human-0000022,2
human,en,en-human-0000022,1
human,en,en-human-0000022,13
human,en,en-human-0000022,2
human,en,en-human-0000022,1
human,en,en-human-0000022,3
human,en,en-human-0000022,3
human,en,en-human-0000022,2
human,en,en-human-0000022,1
human,en,en-human-0000022,4
human,en,en-human-0000022,1
human,en,en-human-0000022,6
human,en,en-human-0000022,2
human,en,en-human-0000022,1
human,en,en-human-0000022,1
human,en,en-human-0000022,2
human,en,en-human-0000024,3
human,en,en-human-0000024,1
human,en,en-human-0000024,1
human,en,en-human-0000024,2
human,en,en-human-0000024,1
human,en,en-human-0000024,1
human,en,en-human-0000024,1
human,en,en-human-0000024,3
human,en,en-human-0000024,1
human,en,en-human-0000024,2
human,en,en-human-0000024,2
human,en,en-human-0000024,1
human,en,en-human-0000024,5
human,en,en-human-0000024,4
human,en,en-human-0000024,2
human,en,en-human-0000024,1
human,en,en-human-0000024,5
human,en,en-human-0000024,6
human,en,en-human-0000024,5
human,en,en-human-0000024,1
human,en,en-human-0000024,3
human,en,en-human-0000024,1
human,en,en-human-0000024,2
human,en,en-human-0000024,13
human,en,en-human-0000024,1
human,en,en-human-0000025,3
human,en,en-human-0000025,2
human,en,en-human-0000025,1
human,en,en-human-0000025,9
human,en,en-human-0000025,4
human,en,en-human-0000025,3
human,en,en-human-0000025,2
human,en,en-human-0000025,1
human,en,en-human-0000025,5
human,en,en-human-0000025,2
human,en,en-human-0000025,1
human,en,en-human-0000025,8
human,en,en-human-0000025,3
human,en,en-human-0000025,2
human,en,en-human-0000025,1
human,en,en-human-0000025,5
human,en,en-human-0000025,2
human,en,en-human-0000025,1
human,en,en-human-0000025,3
human,en,en-human-0000025,2
human,en,en-human-0000025,1
human,en,en-human-0000025,3
human,en,en-human-0000025,1
human,en,en-human-0000025,14
human,en,en-human-0000025,2
human,en,en-human-0000025,1
human,en,en-human-0000025,3
human,en,en-human-0000025,4
human,en,en-human-0000025,3
human,en,en-human-0000025,2
human,en,en-human-0000025,1
human,en,en-human-0000025,6
human,en,en-human-0000026,2
human,en,en-human-0000026,1
human,en,en-human-0000026,1
human,en,en-human-0000026,1
human,en,en-human-0000026,2
human,en,en-human-0000026,2
human,en,en-human-0000026,1
human,en,en-human-0000026,3
human,en,en-human-0000026,5
human,en,en-human-0000026,4
human,en,en-human-0000026,3
human,en,en-human-0000026,2
human,en,en-human-0000026,1
human,en,en-human-0000026,9
human,en,en-human-0000027,2
human,en,en-human-0000027,1
